series_id,series_name
10587.0,Asia Cup 2025
8788.0,"South Africa tour of England, 2025"
10642.0,United Arab Emirates T20I Tri-Series 2025
7572.0,ICC Cricket World Cup League Two 2023-27
,
10267.0,"Sri Lanka tour of Zimbabwe, 2025"
10812.0,Sweden tour of Isle Of Man 2025
9575.0,Caribbean Premier League 2025
9257.0,T20 Blast 2025
10735.0,Uttar Pradesh Premier League 2025
10620.0,Kerala Cricket League 2025
10311.0,Duleep Trophy 2025
9557.0,"New Zealand A tour of South Africa, 2025"
10785.0,Czech Republic Women tour Estonia 2025
10851.0,Womens ICC T20 Tri-Series 2025
10856.0,Japan Women tour of Fiji 2025
10697.0,ICC Womens T20 World Cup Africa Region Division One Qualifier 2025
10702.0,ICC Womens T20 World Cup East Asia Pacific Qualifier 2025
10141.0,Womens Caribbean Premier League 2025
8802.0,"England tour of Ireland, 2025"
10917.0,Mozambique tour of Eswatini 2025
10928.0,Namibia tour of Zimbabwe 2025
10829.0,Australia Domestic One-Day Cup 2025-26
9935.0,"Australia A tour of India, 2025"
9360.0,County Championship Division One 2025
9369.0,County Championship Division Two 2025
9929.0,"Australia Women tour of India, 2025"
10867.0,"Luxembourg Womens T20I Tri-Series, 2025"
10845.0,"South Africa Women tour of Pakistan, 2025"
